Title	Snippet	URL	Category
‘Screams Were Echoing Everywhere’: A Train Hijacking’s 36 Hours of Terror	Pakistani security forces declared an end to ethnic separatists’ seizure of a train carrying more than 400 people.	https://www.nytimes.com/2025/03/12/world/asia/pakistan-militants-train-hostages.html	Politics
U.S.-Backed Cease-Fire Offer Poses Dilemma for Putin	Russia’s leader recently rejected the idea of an interim truce in Ukraine. But he wants to maintain his relationship with President Trump.	https://www.nytimes.com/2025/03/12/world/europe/putin-russia-ukraine-cease-fire.html	Politics
A Tariff Pile-On Threatens to Escalate a Global Trade War	American trading partners responded swiftly to President Trump’s latest round of levies with countermeasures, creating more uncertainty for C.E.O.s.	https://www.nytimes.com/2025/03/12/business/dealbook/tariffs-global-trade-war.html	Politics
Cuts at the Education Department	How the layoffs could affect the agency.	https://www.nytimes.com/2025/03/12/briefing/cuts-at-the-education-department.html	Politics
The Growing Danger of Measles	More than 200 people have been infected, one child has died — and experts fear that low vaccination rates will make the illness harder to contain.	https://www.nytimes.com/2025/03/12/podcasts/the-daily/measles-outbreak-texas.html	Politics
Gutting the Education Department, and a Trump Tesla Show	Plus, who can do the Daffy Duck voice?	https://www.nytimes.com/2025/03/12/podcasts/the-headlines/department-of-education-trumps-tesla.html	Politics
Wait, What Happened? Your Trump 2025 Quiz Is Here.	Your first quiz of the second Trump administration is here.	https://www.nytimes.com/interactive/2025/03/12/opinion/columnists/12collins-quiz-spring-twenty-five.html	Politics
How Far Gone Are We?	A typology of constitutional crises and constitutional rot.	https://www.nytimes.com/2025/03/12/opinion/trump-musk-congress-constitution.html	Politics
Palm Beach Society Goes On, With and Without Trump	At a pair of benefits on this exclusive island, many well-heeled guests were holding their tongues when it came to politics.	https://www.nytimes.com/2025/03/12/style/palm-beach-florida-trump.html	Politics
‘Is the Destruction the Point?’: Three Opinion Writers on Trump’s First 50 Days	Michelle Goldberg and Frank Bruni join Patrick Healy to discuss the issues that have defined Trump’s presidency thus far.	https://www.nytimes.com/2025/03/12/opinion/trump-first-50-days.html	Politics
Kurdish Fighters Called a Truce, but Turkey Kept Up Lethal Strikes	Turkey is still bombing armed Kurdish insurgents in Iraq and Syria, even after their leader urged them to lay down their arms and disband, and their group declared a cease-fire.	https://www.nytimes.com/2025/03/12/world/middleeast/turkey-kurds-deadly-airstrikes.html	Politics
Why Trump’s Tariffs Won’t Work	The economist Kimberly Clausing explains the possible costs and consequences of Trump’s tariffs.	https://www.nytimes.com/2025/03/12/opinion/ezra-klein-podcast-kimberly-clausing.html	Politics
N.Y. Tavern Owner Takes on Texas Over Strip Steak	Todd Shapiro, who owns a restaurant where the corned beef sandwich is named for Grover Cleveland, is fighting to protect a steak’s New York name.	https://www.nytimes.com/2025/03/12/nyregion/ny-tavern-owner-strip-steak.html	Politics
Lucy Dacus Might Not Text You Back	Don’t get her wrong, though. Dacus, a Grammy-winning musician, just prefers to have conversations in person. How we talk (or why we don’t) with the one we love is a theme on her new album.	https://www.nytimes.com/2025/03/12/podcasts/lucy-dacus-forever-is-a-feeling.html	Politics
Cartier to Stage Second Women’s Pavilion at Osaka Expo 2025	Of the fair’s more than 165 pavilions, it is to be the only one dedicated to women’s issues.	https://www.nytimes.com/2025/03/12/fashion/cartier-womens-pavilion-osaka-expo-2025.html	Politics
In Trump’s Shadow, Greenland Votes for a New Government	President Trump has expressed a desire to “get” Greenland, but the victorious party is in no rush to change the status quo.	https://www.nytimes.com/2025/03/12/world/europe/greenland-election.html	Politics
Chinese Warships Circle Australia and Leave It Feeling ‘Near-Naked’	The unusual deployment by three navy ships over the past month has prompted a debate in Australia about its aging fleet and reliance on the United States.	https://www.nytimes.com/2025/03/12/world/australia/china-warships-australia-aukus.html	Politics
An Unexpected Trump Bump for the World’s Centrists	As President Trump’s “shock and awe” policies radiate around the world, they are galvanizing support for moderate leaders and unifying Europe.	https://www.nytimes.com/2025/03/12/world/europe/trump-starmer-europe-centrists.html	Politics
Musk Seeks to Put $100 Million Directly Into Trump Political Operation	Elon Musk has signaled he wants to make some donations not just to his own super PAC, which is called America PAC and has spent heavily on President Trump in the past, but to an outside entity.	https://www.nytimes.com/2025/03/11/us/politics/elon-musk-trump-donation.html	Politics
A Great Unraveling Is Underway	Trump’s foreign policy philosophy is not “containment” or “engagement,” but “smash and grab.”	https://www.nytimes.com/2025/03/11/opinion/trump-economy-tariffs.html	Politics
Trump, an E.V. Naysayer, Gives Tesla and Musk a White House Exhibition	President Trump has spent years bashing electric vehicles. But with Elon Musk by his side, he said he would buy a bright red one.	https://www.nytimes.com/2025/03/11/us/politics/trump-buy-tesla-elon-musk.html	Politics
Republicans Call on Olympic Committee to Bar Transgender Women From Women’s Sports	More than two dozen G.O.P. members of the House and Senate called on the International Olympic Committee to align its eligibility rules with President Trump’s transgender sports ban.	https://www.nytimes.com/2025/03/11/us/politics/olympic-trans-athlete-ban.html	Politics
Russia Begins Assault on Ukrainian-Occupied Town in Kursk Region	Moscow’s military advances on the town of Sudzha may deprive Kyiv of a bargaining chip in peace talks.	https://www.nytimes.com/2025/03/11/world/europe/ukraine-sudzha-russian-forces.html	Politics
Power, Money, Territory: How Trump Shook the World in 50 Days	The system America took 80 years to assemble proved surprisingly fragile in the face of Trump’s assault, a revolution in how the country exercises power across the globe.	https://www.nytimes.com/2025/03/11/us/politics/trump-50-days-foreign-policy.html	Politics
The U.S. Agreed to Resume Military Aid to Ukraine	Also, Trump walked back a plan to double metal tariffs on Canada. Here’s the latest at the end of Tuesday.	https://www.nytimes.com/2025/03/11/briefing/us-aid-ukraine-trump-canada-tariffs.html	Politics
Law Firm Targeted by a Trump Executive Order Files Suit	There had been deep concerns in the legal community that no firm was going to be willing to step up and represent the firm, Perkins Coie.	https://www.nytimes.com/2025/03/11/us/politics/perkins-coie-sues-trump.html	Politics
Democracy Dies in Dumbness	Until Donald Trump, no president had been so ignorant of the lessons of history, so incompetent in carrying out his own ideas.	https://www.nytimes.com/2025/03/11/opinion/trump-tariffs-recession-ukraine.html	Politics
Duterte’s Arrest Shows Power and Limits of the International Criminal Court	The arrest represents a significant victory for the I.C.C., but only a narrow set of circumstances made it possible.	https://www.nytimes.com/2025/03/11/world/asia/duterte-arrest-international-criminal-court.html	Politics
Republicans Quietly Cede Power to Cancel Trump’s Tariffs, Avoiding a Tough Vote	House G.O.P. leaders tucked the provision into a procedural measure needed to pass a government spending bill.	https://www.nytimes.com/2025/03/11/us/politics/trump-tariffs-house-gop-vote.html	Politics
Investors Thought They Had Trump Figured Out. They Were Wrong.	On Tuesday, President Trump sent markets into another tailspin by announcing additional tariffs on Canada, suggesting a falling stock market is no longer the bulwark investors had hoped.	https://www.nytimes.com/2025/03/11/business/economy/trump-stock-market-economy.html	Politics
It’s Time to Start Dressing Like a Witch	Prosthetic body parts, lampshade hats and other surprising trends from fashion month.	https://www.nytimes.com/2025/03/11/t-magazine/fashion-week-fall-trends.html	Politics
Trump Intensifies Statehood Threats in Attack on Canada	The U.S. president on Tuesday reiterated his claims on Canada’s territory as he increased tariffs, threatening to bring the country’s economy to its knees.	https://www.nytimes.com/2025/03/11/us/politics/canada-trump-statehood-attacks.html	Politics
Airlines Cut Forecasts, Raising an Early Alarm About Consumer Spending	The revised revenue projections suggest that flagging economic confidence has started to hurt travel, which can be an indicator for other industries.	https://www.nytimes.com/2025/03/11/business/airlines-cut-revenue-forecasts-delta-southwest.html	Politics
The Philharmonic’s New Season: What We’re Excited to Hear	Our critics choose highlights from a lineup that includes Joshua Bell, Nathalie Joachim, Barbara Hannigan and more.	https://www.nytimes.com/2025/03/11/arts/music/new-york-philharmonic-2025-26-season.html	Politics
Volkswagen’s Profit Under Pressure From Tariffs and Competition	The German auto giant’s earnings fell last year as it pushed ahead with a restructuring in the face of tariff uncertainty in the United States and lost market share in China.	https://www.nytimes.com/2025/03/11/world/europe/volkswagen-tariffs-competition.html	Politics
What Elon Musk’s Suit Says About Trump and Power	When Elon Musk puts on a nice suit, it has a way of looking like a demotion.	https://www.nytimes.com/2025/03/11/us/politics/elon-musk-suit-trump-white-house.html	Politics
The ‘Chain Saw’ at the Veterans Agency	Readers react to the deep staff cuts at the V.A. Also: How State Department reductions will hurt Americans abroad.	https://www.nytimes.com/2025/03/11/opinion/veterans-state-dept-cuts.html	Politics
House G.O.P. Passes Bill to Avert a Shutdown, Daring the Senate to Accept It	Approval of the bill sent it to the Senate, where Republicans need the cooperation of several Democrats to move it past a filibuster and to passage before a midnight deadline on Friday.	https://www.nytimes.com/2025/03/11/us/politics/house-stopgap-funding-bill-vote-government-shutdown.html	Politics
The Americans Who Ran Guns for the I.R.A.	“The Next One Is for You” chronicles the effects of the Troubles on both sides of the Atlantic.	https://www.nytimes.com/2025/03/11/books/review/the-next-one-is-for-you-ali-watkins.html	Politics
Musk Suggests His Team Will Scrutinize Social Security and Entitlement Spending	In an interview with Larry Kudlow, Elon Musk claimed that fraud in Social Security and other major programs was “the big one to eliminate.”	https://www.nytimes.com/2025/03/11/us/politics/musk-doge-social-security-entitlement-spending.html	Politics
Pakistan Separatists Hijack Train With 400 Onboard and Give Ultimatum	The militants, Baloch ethnic fighters, said they would kill dozens of seized security personnel if the Pakistani government did not agree to a prisoner exchange.	https://www.nytimes.com/2025/03/11/world/asia/pakistan-balochistan-train-hijacking.html	Politics
Katie Porter Will Run for California Governor	The former congresswoman is the most prominent candidate so far to start a campaign in the 2026 contest. But the race could be upended if former Vice President Kamala Harris decides to run.	https://www.nytimes.com/2025/03/11/us/politics/katie-porter-california-governor.html	Politics
Trump Faces a C.E.O. Test	The president is set to meet with corporate leaders on Tuesday, as concerns over his protectionist trade policies weigh on markets and the economy.	https://www.nytimes.com/2025/03/11/business/dealbook/ceo-white-house-tariff.html	Politics
How the Pandemic Upended Our Lives	Whether you fled a crowded city or thought a puppy was the answer, the glimpses of another life we got during Covid have faded away.	https://www.nytimes.com/2025/03/11/realestate/pandemic-covid-home-life.html	Politics
Trump Vows to Buy a Tesla to Support Musk After Shares Plunge	The president defended Elon Musk, a key donor and adviser, after shares in the electric-car maker hit their lowest point since before Election Day.	https://www.nytimes.com/2025/03/11/us/politics/trump-elon-musk-tesla.html	Politics
Why the I.C.C. Arrested Duterte Despite Questions Over Jurisdiction	Rodrigo Duterte, the former president of the Philippines, was arrested on a warrant issued by the International Criminal Court. But questions of jurisdiction complicate the matter.	https://www.nytimes.com/2025/03/11/world/asia/duterte-icc-arrest-explained.html	Politics
What Covid Taught Us	We look at how the world changed — and what studies revealed about how we live.	https://www.nytimes.com/2025/03/11/briefing/what-covid-taught-us.html	Politics
Trump’s Bid for Greenland	The president says America will “get” the island, “one way or the other.” What does he really want, and how likely is he to get it?	https://www.nytimes.com/2025/03/11/podcasts/the-daily/trumps-greenland-denmark.html	Politics
15 Lessons Scientists Learned About Us When the World Stood Still	The pandemic gave researchers a rare opportunity to study human behavior. Their work offers lessons about loneliness, remote work, high heels and more.	https://www.nytimes.com/interactive/2025/03/11/upshot/covid-lessons.html	Politics
The Two Modes of Justice of Donald Trump	Only the norms of history and the customs of decency constrain a president — or, as in this case, they don’t.	https://www.nytimes.com/2025/03/11/opinion/trump-pardon-prosecution.html	Politics
Even if the Democrats Can Move to the Center, It May Not Help	How much have Democrats learned from their ‘shattering defeat’?	https://www.nytimes.com/2025/03/11/opinion/democrats-center-future.html	Politics
The Document That Has Uncomfortable Lessons for Trump	The president should reread the Declaration of Independence.	https://www.nytimes.com/2025/03/11/opinion/trump-jefferson-doge-hamilton.html	Politics
NPR Has Always Been Fighting for Its Life	A new book by Steve Oney traces the public radio network’s turbulent history as it once again becomes a political target.	https://www.nytimes.com/2025/03/11/books/review/on-air-steve-oney.html	Politics
We’re Relearning What Pandemics Do to a Society	We’re still in the chaos phase.	https://www.nytimes.com/2025/03/11/opinion/pandemic-cycle-chaos.html	Politics
A Murder Mystery in the West Bank, With an Unlikely Duo on the Case	In Lawrence Wright’s new thriller, an Arab American F.B.I. agent and an Israeli cop take on an intractable conflict.	https://www.nytimes.com/2025/03/11/books/review/lawrence-wright-human-scale.html	Politics
Working at Anheuser-Busch, I Saw What Went Wrong With the D.E.I. Movement	A former Anheuser-Busch executive explains how his experiences soured him on the corporate D.E.I. movement.	https://www.nytimes.com/2025/03/11/opinion/anheuser-busch-dylan-mulvaney.html	Politics
I Went to Dubai and Caught a Glimpse of the Future	The city is strikingly rewriting the story of skilled migration.	https://www.nytimes.com/2025/03/11/opinion/dubai-migration-trump.html	Politics
How the Movies Made Joan Didion a Great American Writer	A new book by Alissa Wilkinson argues that the iconic writer’s imagination and signature style were profoundly shaped by Hollywood.	https://www.nytimes.com/2025/03/11/books/review/we-tell-ourselves-stories-alissa-wilkinson.html	Politics
More Universities Are Choosing to Stay Neutral on the Biggest Issues	Instead of speaking out on the hot-button debates of the day, more schools are making it a policy to stay silent as political pressure mounts against higher education.	https://www.nytimes.com/2025/03/11/us/institutional-neutrality-universities-free-speech.html	Politics
Among American Jews, a Schism Over ICE Arrest of Columbia Activist	Some organizations applauded the move. But the raid chilled other American Jews, even some who consider themselves supporters of Israel.	https://www.nytimes.com/2025/03/11/nyregion/palestinian-activist-arrest-jewish-community.html	Politics
A Critic Whose Beat Is, on Occasion, a Laughing Matter	Jason Zinoman started writing about comedy for The New York Times in 2011, when the world of stand-up and improv looked a little different.	https://www.nytimes.com/2025/03/11/insider/jason-zinoman-comedy.html	Politics
History Isn’t Entirely Repeating Itself in Covid’s Aftermath	Five years after the novel coronavirus emerged, historians see echoes of other great illnesses, and legacies that are unlike any of them.	https://www.nytimes.com/2025/03/11/health/covid-pandemic-history.html	Politics
What Slowdown? Xi Says China Must Win the Global Tech Race.	Xi Jinping wants China to surpass rivals as a tech superpower, undeterred by economic woes or trade wars. Critics ask if this focus neglects struggling citizens.	https://www.nytimes.com/2025/03/11/world/asia/china-xi-trump.html	Politics
Despite Congo Offensive, Rwanda Lures Athletes, Investors and Tourists	Rwanda appears to be betting on its reputation as a key security partner and sports destination to minimize any backlash to its involvement in the war.	https://www.nytimes.com/2025/03/11/world/africa/rwanda-congo-john-legend-tourism-m23-invasion.html	Politics
For Duterte, Signs of a Reckoning Years After He Ordered a Deadly Drug War	Rodrigo Duterte, the former Philippine president, was arrested on Tuesday in Manila and was flown to The Hague to face International Criminal Court charges of crimes against humanity.	https://www.nytimes.com/2025/03/10/world/asia/icc-philippines-rodrigo-duterte.html	Politics
How Covid Changed the Lives of These 29 Americans	Five years later, the coronavirus pandemic may seem far away and foggy, or as visceral as yesterday. Here are some stories of those enduring changes.	https://www.nytimes.com/interactive/2025/03/10/us/covid-19-changed-people.html	Politics
Inside the Former ‘Underworld’ Where Ai Weiwei Makes Art	Ahead of his largest-ever exhibition in the U.S., the dissident artist reflects on collecting jade and living below ground.	https://www.nytimes.com/2025/03/10/t-magazine/ai-weiwei-retrospective-seattle-art-museum.html	Politics
Rubio Seeks Cease-Fire in Ukraine After Reaching His Own With Musk	After blowing up at Elon Musk, Secretary of State Marco Rubio aims to bolster his position. He is seeing Saudi and Ukrainian officials in Saudi Arabia and allied diplomats in Canada.	https://www.nytimes.com/2025/03/10/us/politics/trump-rubio-ukraine-musk.html	Politics
Justice Dept. Official Says She Was Fired After Opposing Restoring Mel Gibson’s Gun Rights	Elizabeth G. Oyer, the former pardon attorney, said that she was not told why she was dismissed, but that as events unfolded she feared they might lead to her firing.	https://www.nytimes.com/2025/03/10/us/politics/justice-department-mel-gibson.html	Politics
When It Comes to the Economy, Does Trump Have Musk’s Pain Tolerance?	Wall Street’s slide puts pressure on Musk and Trump, for different reasons.	https://www.nytimes.com/2025/03/10/us/politics/trump-musks-markets-economy.html	Politics
This Is the Greatest Threat to Free Speech Since the Red Scare	Mahmoud Khalil’s detention is a frightening sign of an authoritarian slide.	https://www.nytimes.com/2025/03/10/opinion/mahmoud-khalil-free-speech.html	Politics
Fire Damages 4 Tesla Cybertrucks in Seattle	Federal and local law enforcement authorities are investigating what caused the Sunday night fire, which came after a series of attacks against Tesla in rebuke of its chief executive, Elon Musk.	https://www.nytimes.com/2025/03/10/us/tesla-cybertruck-fire-seattle.html	Politics
G.O.P. Spending Bill Would Force $1 Billion Cut to D.C. Budget	Republicans omitted a standard provision approving the District’s budget in a stopgap funding measure needed to avert a shutdown before the end of the week. The result would be a 16 percent cut.	https://www.nytimes.com/2025/03/10/world/europe/spending-bill-government-shutdown-dc-budget-cuts.html	Politics
New Canadian Leader’s Balancing Act: Negotiate With and Fight Trump	Mark Carney will most likely be in power just a few weeks before a federal election is held. To win, he will try to convince Canadians he can take on, but also negotiate with, Trump.	https://www.nytimes.com/2025/03/10/world/canada/mark-carney-trump.html	Politics
How Trump Is Helping Liberals Abroad	Voters are rallying behind some leaders who oppose President Trump’s tariffs, threats and insults. There’s a theory that explains why.	https://www.nytimes.com/2025/03/13/briefing/donald-trump-international-relations.html	Business
Going Once, Going Twice: 165,000 Tons of Rice	The Japanese government held a rare auction this week to make up for a rice shortage that an official called “truly unthinkable.”	https://www.nytimes.com/2025/03/13/world/asia/japan-rice-prices-auction.html	Business
